scenario,seed,cumulative_reward,mean_temp,max_temp,mean_fan,warning_entries,critical_entries,controller,perturbation
baseline,2000,-10.889,68.3750417410787,71.39214181137085,59.96666666666667,0,0,mpc_rc,action_delay
baseline,2001,235.84473912782775,60.89103884785462,63.328342781066894,59.309236437479655,0,0,mpc_rc,action_delay
baseline,2002,-10.889,69.93462492202758,73.0712258605957,59.96666666666667,0,0,mpc_rc,action_delay
baseline,2003,-6.800004170227042,66.92257408873242,69.82838703155518,59.96666666666667,0,0,mpc_rc,action_delay
baseline,2004,-10.889,68.69496661378224,71.73658925247193,59.96666666666667,0,0,mpc_rc,action_delay
baseline,2005,221.02904299955844,61.134701288532256,63.59701102256775,59.966305338541666,0,0,mpc_rc,action_delay
baseline,2006,153.0842230046641,62.26711340959676,64.8161925392151,59.966455688476564,0,0,mpc_rc,action_delay
baseline,2007,-10.889,69.7314494304657,72.85250135421752,59.96666666666667,0,0,mpc_rc,action_delay
baseline,2008,124.11543572793482,62.761695696123766,65.34867915344238,59.96657552083333,0,0,mpc_rc,action_delay
baseline,2009,355.08422329346894,58.90046948051325,61.1914151058197,59.962596028645834,0,0,mpc_rc,action_delay
baseline,2000,1002.2830939401847,48.30407396191417,71.04571559262276,59.96453125,0,0,mpc_rcnn,action_delay
baseline,2001,1127.0783270247512,46.03387788292081,63.069851026535034,59.96666666666667,0,0,mpc_rcnn,action_delay
baseline,2002,980.4296777622233,48.772839807907715,72.70644910025597,59.966657371520995,0,0,mpc_rcnn,action_delay
baseline,2003,1023.74166373702,47.86718255444986,69.49905089497567,59.96664683024088,0,0,mpc_rcnn,action_delay
baseline,2004,997.7040864266298,48.40025090386248,71.38639855337144,59.9666633605957,0,0,mpc_rcnn,action_delay
baseline,2005,1122.493859647185,46.11030840840952,63.335530989170074,59.96271377563477,0,0,mpc_rcnn,action_delay
baseline,2006,1101.8809307122767,46.45440235974196,64.54136583375931,59.86882891337077,0,0,mpc_rcnn,action_delay
baseline,2007,983.2195914727091,48.711745496783855,72.49011500835418,59.9640562693278,0,0,mpc_rcnn,action_delay
baseline,2008,1092.6788565815427,46.60742945500056,65.06807923150062,59.966643498738605,0,0,mpc_rcnn,action_delay
baseline,2009,1163.788701468662,45.42203837126407,60.956691433548926,59.96665594736735,0,0,mpc_rcnn,action_delay
baseline,2000,-2.705271005630493,69.69659870046107,71.39214181137085,28.65569703420003,0,0,rl_rc,action_delay
baseline,2001,166.80755615234375,62.17283022396978,63.328342781066894,29.37142812093099,0,0,rl_rc,action_delay
baseline,2002,-2.7984719276428223,71.25732795608775,73.0712258605957,28.610194854736328,0,0,rl_rc,action_delay
baseline,2003,-2.7191596031188965,68.24081323228201,69.82838703155518,28.740687561035156,0,0,rl_rc,action_delay
baseline,2004,-2.7045822143554688,70.01643371099473,71.73658925247193,28.64851983388265,0,0,rl_rc,action_delay
baseline,2005,151.84609985351562,62.42216555154992,63.59701102256775,29.37277519861857,0,0,rl_rc,action_delay
baseline,2006,83.59922790527344,63.559856591912585,64.8161925392151,29.276725234985353,0,0,rl_rc,action_delay
baseline,2007,-2.748624801635742,71.05398130331929,72.85250135421752,28.615083643595376,0,0,rl_rc,action_delay
baseline,2008,54.778255462646484,64.05914381887563,65.34867915344238,29.193274218241374,0,0,rl_rc,action_delay
baseline,2009,286.0011291503906,60.1861613133564,61.1914151058197,29.40352123896281,0,0,rl_rc,action_delay
baseline,2000,915.6266479492188,49.90580677957432,71.04571559262276,27.154028619130454,0,0,rl_rcnn,action_delay
baseline,2001,1047.6328125,47.49843792968351,63.069851026535034,27.091207478841145,0,0,rl_rcnn,action_delay
baseline,2002,892.4339599609375,50.40891921195569,72.70644910025597,27.165133152008057,0,0,rl_rcnn,action_delay
baseline,2003,938.52490234375,49.436626488654944,69.49905089497567,27.1465003712972,0,0,rl_rcnn,action_delay
baseline,2004,910.75146484375,50.009082036136874,71.38639855337144,27.155688336690268,0,0,rl_rcnn,action_delay
baseline,2005,1042.587646484375,47.58108019924712,63.335530989170074,27.07187941233317,0,0,rl_rcnn,action_delay
baseline,2006,1020.9168701171875,47.9431118010541,64.54136583375931,27.090394331614178,0,0,rl_rcnn,action_delay
baseline,2007,895.2137451171875,50.34541843368318,72.49011500835418,27.1521022605896,0,0,rl_rcnn,action_delay
baseline,2008,1011.6337890625,48.098582093387606,65.06807923150062,27.113879152933755,0,0,rl_rcnn,action_delay
baseline,2009,1085.5732421875,46.86498225454823,60.956691433548926,27.05972002029419,0,0,rl_rcnn,action_delay
