scenario,seed,fault_type,cumulative_reward,mean_temp,max_temp,mean_fan,mean_fault_magnitude,max_fault_magnitude,warning_entries,critical_entries,controller,episode
baseline,2004,noise,-3.34541654586792,70.17646026611328,71.73943328857422,28.29406540552775,1.563388466835022,5.942359924316406,0,0,rl_rc,5
baseline,2005,noise,189.45346069335938,61.823028564453125,71.31649780273438,29.00718289057414,1.5922800302505493,5.663700103759766,0,0,rl_rc,6
baseline,2006,noise,36.98680877685547,64.33968353271484,68.31013488769531,28.596499633789062,1.780996322631836,6.919300079345703,0,0,rl_rc,7
baseline,2007,noise,-3.5321450233459473,71.26728057861328,74.18722534179688,28.323596369425456,1.7434557676315308,6.537528991699219,0,0,rl_rc,8
baseline,2008,noise,107.80735778808594,63.161537170410156,65.34369659423828,29.357645473480225,1.5872936248779297,6.078880310058594,0,0,rl_rc,9
baseline,2009,noise,326.9781494140625,59.53923034667969,71.5666275024414,29.0090025583903,1.6091785430908203,5.641368865966797,0,0,rl_rc,10
baseline,2000,noise,895.4065551757812,50.31346893310547,71.06279754638672,26.671515261332193,1.6340101957321167,6.08099365234375,0,0,rl_rcnn,1
baseline,2001,noise,992.90966796875,48.48762893676758,63.31166458129883,26.667781003316243,1.6645091772079468,5.7757110595703125,0,0,rl_rcnn,2
baseline,2002,noise,925.6630859375,49.96028137207031,72.72478485107422,26.719095001220705,1.5696130990982056,5.815864562988281,0,0,rl_rcnn,3
baseline,2003,noise,1023.6121215820312,48.12899398803711,74.8030776977539,26.73960569381714,1.518373966217041,6.101657867431641,0,0,rl_rcnn,4
baseline,2004,noise,578.7987060546875,55.66472625732422,71.47795867919922,26.456431814829507,1.5633882284164429,5.942359924316406,0,0,rl_rcnn,5
baseline,2005,noise,736.819580078125,52.7673454284668,72.9522933959961,26.239132226308186,1.5922800302505493,5.663700103759766,0,0,rl_rcnn,6
baseline,2006,noise,314.43170166015625,59.78117370605469,74.69734191894531,26.69290683110555,1.7809960842132568,6.919300079345703,0,0,rl_rcnn,7
baseline,2007,noise,878.8919677734375,50.76827621459961,73.92192077636719,26.771088835398356,1.7434557676315308,6.537525177001953,0,0,rl_rcnn,8
baseline,2008,noise,1348.508544921875,42.63528060913086,75.99297332763672,26.34787083307902,1.5872933864593506,6.078880310058594,0,0,rl_rcnn,9
baseline,2009,noise,889.2010498046875,50.23381423950195,72.40000915527344,26.151608327229816,1.6091786623001099,5.641368865966797,0,0,rl_rcnn,10
