controller,Delay_0_steps,Delay_1_steps,Delay_2_steps,Delay_1_steps_pct,Delay_2_steps_pct
mpc_rc,88.99325616310088,103.8801659983227,103.79668539493623,16.7,16.6
mpc_rcnn,1030.919831226577,1059.5298788773184,1059.5631174262526,2.8,2.8
rl_rc,84.96545882760547,72.93561589717865,73.73121066093445,-14.2,-13.2
rl_rcnn,943.8500454543624,976.0895080566406,978.0550109863282,3.4,3.6
