#{"t_start": 1780062163.6849408, "env_id": "None"}
r,l,t
2085.587239,300,1033.158841
2007.793508,300,1037.202464
1804.827798,300,1041.222239
983.670146,300,1044.464834
1849.08182,300,1048.565412
2119.198281,300,1052.6051
973.844531,300,1056.577209
1960.353541,300,1060.462239
1575.005582,300,1064.390234
1045.766619,300,1068.079711
1040.47759,300,1072.106718
1711.836361,300,1075.980301
1821.798452,300,1079.559812
1316.090702,300,1083.52599
1823.8119,300,1087.635514
1671.735534,300,1091.85091
1639.69744,300,1095.29102
1585.611717,300,1098.928923
2199.853638,300,1102.678472
1480.020893,300,1106.735599
1345.240842,300,1110.710297
1607.455344,300,1114.647828
2159.3073,300,1118.827316
1723.492089,300,1122.254797
1803.320244,300,1126.095319
1084.381075,300,1130.066234
1347.57984,300,1134.031554
2071.300774,300,1137.999675
2094.395899,300,1142.096263
1710.219988,300,1146.069459
1578.98741,300,1149.583529
1633.630219,300,1153.123449
2100.927048,300,1157.186897
1924.649178,300,1161.404925
1653.759826,300,1165.310774
1116.195464,300,1169.45363
1407.354123,300,1173.27308
1431.809875,300,1177.331742
1702.460205,300,1181.384248
1078.632781,300,1185.377901
1510.250304,300,1189.227706
1740.040272,300,1193.320136
2049.085252,300,1197.270251
1979.234657,300,1201.452827
1878.505022,300,1205.502845
2100.751439,300,1209.530116
1422.981636,300,1213.554788
1480.294541,300,1217.533324
1287.583749,300,1221.548202
2217.253731,300,1225.552668
1261.881145,300,1229.475589
1363.440126,300,1233.436657
2037.348508,300,1237.182369
2117.082758,300,1241.220859
1207.932547,300,1244.930321
1204.475746,300,1248.85181
1612.520244,300,1252.784527
1381.808214,300,1256.083959
1340.214235,300,1259.846542
2116.951972,300,1263.923626
1707.253975,300,1267.772485
1605.090834,300,1270.571555
2088.733419,300,1274.268262
1908.923059,300,1278.318533
1203.940524,300,1282.251976
1447.944219,300,1286.268877
1853.375122,300,1290.266709
1747.895347,300,1294.269807
1936.803435,300,1298.315324
1689.912386,300,1302.426716
1076.08574,300,1306.532517
1245.849897,300,1309.981984
1774.101108,300,1313.928992
2065.643297,300,1317.528301
1165.667062,300,1321.417012
1999.022653,300,1325.177298
1756.592288,300,1329.180934
1663.476117,300,1332.768492
1297.470277,300,1336.795747
1229.284171,300,1340.886884
1665.911283,300,1344.778346
2181.155041,300,1348.777076
1607.77195,300,1352.820657
1961.13367,300,1356.867709
1150.918442,300,1360.558691
1629.059194,300,1364.525819
1389.206274,300,1368.614357
1849.660363,300,1372.714666
1258.499138,300,1376.695409
1487.74762,300,1380.378078
1849.222417,300,1384.431748
1968.322242,300,1388.514621
1390.058228,300,1392.676932
1858.857972,300,1396.711864
1634.067588,300,1400.763444
1161.154805,300,1404.69958
1342.087671,300,1408.364807
1834.976377,300,1412.377795
1811.423693,300,1416.51075
1231.835607,300,1420.519508
1304.042294,300,1424.498471
2141.29468,300,1428.505626
1340.715668,300,1432.345876
1297.085336,300,1436.416412
1287.514388,300,1440.440215
2077.384288,300,1444.358679
2034.807037,300,1448.278157
993.481721,300,1452.337655
1773.79651,300,1456.194614
1822.496042,300,1460.279177
2196.770573,300,1464.294355
2003.791091,300,1468.307724
2061.623896,300,1472.415185
1375.264311,300,1476.394253
1919.63065,300,1480.484342
2205.558037,300,1484.409933
1379.128739,300,1488.467827
2012.240778,300,1492.637415
1173.074473,300,1496.575767
2205.702863,300,1500.639308
2014.36078,300,1504.411697
1139.699787,300,1508.442167
2057.766874,300,1512.595472
1799.339357,300,1516.610394
1597.906009,300,1520.622143
1327.464855,300,1524.535658
1439.228482,300,1528.701078
1726.509698,300,1532.097453
1994.935292,300,1536.058352
1322.933798,300,1539.901592
1826.888094,300,1544.081246
1202.195509,300,1548.152467
2066.442415,300,1552.262118
1459.90228,300,1556.244091
1365.316202,300,1560.386961
1595.412051,300,1564.533799
2070.017992,300,1568.55653
1041.695644,300,1571.991118
1749.532157,300,1574.990265
1158.079327,300,1579.161206
2140.247137,300,1583.150119
1022.078228,300,1587.099857
1594.426279,300,1591.171881
1364.095504,300,1595.196268
1897.175542,300,1599.095822
1701.123165,300,1603.007066
1241.25599,300,1607.250245
1692.559012,300,1611.358593
1974.780868,300,1615.307359
1714.616144,300,1619.335829
1157.050545,300,1623.001254
1626.842329,300,1626.64451
1241.986614,300,1630.907171
1971.491704,300,1635.332294
1962.819539,300,1639.389412
1074.139205,300,1643.439545
1475.163651,300,1647.255224
2127.733903,300,1651.217337
1549.793543,300,1655.094903
1264.521765,300,1659.398781
1160.055821,300,1663.30035
1739.963681,300,1667.256943
1765.463439,300,1671.366109
1843.296122,300,1675.454004
2048.692606,300,1679.528176
1975.435301,300,1683.605151
1677.302523,300,1687.530502
1861.151049,300,1691.51351
1116.369584,300,1695.505117
1868.571648,300,1699.555784
1603.349458,300,1703.522662
1583.164402,300,1707.215199
2145.052767,300,1710.88433
1283.269991,300,1714.781074
1782.420235,300,1719.059897
2013.826086,300,1722.872099
1558.585292,300,1725.924776
1577.992619,300,1729.947218
1874.663933,300,1733.739053
1631.024216,300,1736.87422
1614.628063,300,1740.559923
1432.424852,300,1744.554272
1223.276566,300,1748.495384
1771.650273,300,1752.485028
2031.889866,300,1756.498053
1959.189128,300,1760.523753
1376.116054,300,1764.512607
1342.545252,300,1768.505233
2184.648402,300,1772.435238
1425.489804,300,1776.51892
1427.642162,300,1780.481413
1914.130962,300,1784.646554
2144.160173,300,1788.618706
1900.198171,300,1792.605742
1808.271193,300,1796.812047
1770.007578,300,1800.81675
1483.890618,300,1804.779848
1764.149327,300,1808.77353
1205.583829,300,1812.817837
1327.696801,300,1816.840404
1477.531053,300,1820.963426
1621.52938,300,1825.056215
2082.143079,300,1829.100143
1711.439844,300,1833.061214
1209.696727,300,1837.183144
1413.029769,300,1841.20037
1712.727218,300,1845.309472
1849.281525,300,1849.382285
2233.191482,300,1853.254163
2116.674095,300,1857.399742
998.758913,300,1861.342164
2089.492252,300,1865.320229
1252.267767,300,1869.225288
2078.635717,300,1873.174852
1855.65192,300,1877.12679
1506.568499,300,1881.087237
1213.221233,300,1885.085432
1172.579707,300,1889.109227
1324.924115,300,1892.947988
2208.669431,300,1897.041234
1334.25996,300,1901.143222
1574.370578,300,1905.19217
1596.323791,300,1909.310501
1194.765764,300,1913.123732
1762.61449,300,1916.773103
1828.082225,300,1920.768906
1486.208461,300,1924.786951
1617.303828,300,1928.734943
1990.362545,300,1932.630284
1803.468468,300,1936.695096
1173.208337,300,1940.636167
1608.774088,300,1944.713365
1030.15644,300,1948.752445
1843.396872,300,1952.838482
2098.233309,300,1956.915074
2045.70973,300,1961.048202
2148.887739,300,1965.165312
1887.675441,300,1969.090501
1975.818399,300,1973.269236
1802.661664,300,1977.345396
1789.555933,300,1981.364629
1727.416936,300,1985.479504
1479.994307,300,1989.526217
1960.751649,300,1993.75455
1981.440578,300,1997.869389
1995.082692,300,2001.746431
1946.644731,300,2005.746056
1766.232551,300,2009.709936
1701.140756,300,2013.737658
1159.852427,300,2017.499795
2135.376187,300,2021.812305
2244.873575,300,2025.740182
1655.0483,300,2029.779197
1884.738082,300,2033.736473
1805.120066,300,2037.937714
1143.88418,300,2041.88219
2071.225983,300,2045.84435
1930.123828,300,2049.892052
1603.191316,300,2053.665042
1822.641983,300,2057.651255
1811.65193,300,2061.619295
2092.854348,300,2065.688319
