timesteps,actor_param_norm,critic0_param_norm,critic1_param_norm,critic_loss
1000,24.546339876949787,23.50830091536045,23.50830091536045,
2000,24.280167487915605,24.373304419219494,24.373304419219494,0.005504148546606302
3000,24.17212029406801,24.975155778229237,24.975155778229237,0.005704271141439676
4000,24.116994948126376,25.49387849122286,25.49387849122286,0.002869995543733239
5000,24.096194327808917,25.85954048484564,25.85954048484564,0.0018487891647964716
6000,24.0803389120847,26.12981156259775,26.12981156259775,0.0010820908937603235
7000,24.077865628525615,26.394165448844433,26.394165448844433,0.0005932231433689594
8000,24.08460272848606,26.62887405604124,26.62887405604124,0.0007784321205690503
9000,24.093361461535096,26.821413278579712,26.821413278579712,0.00046267895959317684
10000,24.137769263237715,26.96787155419588,26.96787155419588,0.0002720212796702981
11000,24.15437253564596,27.122799687087536,27.122799687087536,0.00033903095754794776
12000,24.313926607370377,27.2597346752882,27.2597346752882,0.0002946334716398269
13000,24.539950840175152,27.376032441854477,27.376032441854477,0.00024588219821453094
14000,24.747864797711372,27.489245146512985,27.489245146512985,0.00017519677930977196
15000,24.97339790686965,27.573261313140392,27.573261313140392,0.00021434560767374933
16000,25.511534117162228,27.64979311078787,27.64979311078787,0.0001140507374657318
17000,25.85725474357605,27.710128150880337,27.710128150880337,0.00017731630941852927
18000,26.2513681165874,27.78324782848358,27.78324782848358,0.0001672021026024595
19000,26.694964975118637,27.859618827700615,27.859618827700615,0.00014732424460817128
20000,27.07468468695879,27.914197884500027,27.914197884500027,0.00012748062727041543
21000,27.587241876870394,27.97987124323845,27.97987124323845,7.96228414401412e-05
22000,28.006504211574793,28.027184456586838,28.027184456586838,9.807937749428675e-05
23000,28.49709288775921,28.069465816020966,28.069465816020966,0.00011407677811803296
24000,29.036315362900496,28.10937438160181,28.10937438160181,9.291354945162311e-05
25000,29.517459090799093,28.158772736787796,28.158772736787796,9.832048817770556e-05
26000,30.341712575405836,28.219838947057724,28.219838947057724,5.4311582061927766e-05
27000,31.24498836323619,28.258147433400154,28.258147433400154,3.7058518500998616e-05
28000,32.01522805914283,28.30722749233246,28.30722749233246,6.246987322811037e-05
29000,32.782968267798424,28.349599227309227,28.349599227309227,3.8227313780225813e-05
30000,33.516492675989866,28.40961468219757,28.40961468219757,4.04591228289064e-05
31000,34.368151146918535,28.452509984374046,28.452509984374046,3.351293707964942e-05
32000,35.26957841962576,28.509589679539204,28.509589679539204,7.597496005473658e-05
33000,35.97645939141512,28.570285886526108,28.570285886526108,2.6327163141104393e-05
34000,36.61710513010621,28.62175438553095,28.62175438553095,2.1407933672890067e-05
35000,37.177881702780724,28.666021451354027,28.666021451354027,4.3876469135284424e-05
36000,37.658795457333326,28.717568516731262,28.717568516731262,2.873863559216261e-05
37000,38.14128499850631,28.77286823093891,28.77286823093891,2.2640890165348537e-05
38000,38.56754503399134,28.828345455229282,28.828345455229282,2.3572561985929497e-05
39000,39.02459913492203,28.890430457890034,28.890430457890034,3.294073394499719e-05
40000,39.44672344624996,28.960852839052677,28.960852839052677,1.836613409977872e-05
41000,39.790343061089516,29.025492630898952,29.025492630898952,3.879163705278188e-05
42000,40.161317966878414,29.089352279901505,29.089352279901505,0.0001338753936579451
43000,40.51508506387472,29.147817812860012,29.147817812860012,2.851395220204722e-05
44000,40.85722456127405,29.19343823939562,29.19343823939562,4.731386434286833e-05
45000,41.20684149116278,29.24786202609539,29.24786202609539,2.7745729312300682e-05
46000,41.520267464220524,29.29055928438902,29.29055928438902,2.2477715901914053e-05
47000,41.84584417939186,29.342639699578285,29.342639699578285,1.2793634596164338e-05
48000,42.21065544337034,29.37967774271965,29.37967774271965,1.846529630711302e-05
49000,42.59419699013233,29.426027946174145,29.426027946174145,2.2823554900242016e-05
50000,43.05990099161863,29.480525352060795,29.480525352060795,1.947968303284142e-05
51000,43.48523785918951,29.532293252646923,29.532293252646923,8.460531716991682e-06
52000,43.886563658714294,29.587745241820812,29.587745241820812,1.5884281310718507e-05
53000,44.24651467055082,29.65045067667961,29.65045067667961,8.437255019089207e-06
54000,44.53811627626419,29.698220402002335,29.698220402002335,1.2254807188583072e-05
55000,44.83137025684118,29.750028744339943,29.750028744339943,1.427818278898485e-05
56000,45.17941565811634,29.791927337646484,29.791927337646484,1.744963628880214e-05
57000,45.51289360970259,29.843212701380253,29.843212701380253,2.821124144247733e-05
58000,45.75931429117918,29.898222506046295,29.898222506046295,6.268761353567243e-06
59000,46.02128352969885,29.95370727032423,29.95370727032423,1.6358335415134206e-05
60000,46.35053101181984,30.003475159406662,30.003475159406662,2.1839136024937034e-05
61000,46.57852790504694,30.066429242491722,30.066429242491722,2.220694295829162e-05
62000,46.81328599900007,30.12678285688162,30.12678285688162,3.857402043649927e-05
63000,47.035734698176384,30.1827010512352,30.1827010512352,8.184836588043254e-06
64000,47.2999285236001,30.236580289900303,30.236580289900303,2.493330066499766e-05
65000,47.564274065196514,30.28967458754778,30.28967458754778,1.6096935723908246e-05
66000,47.79090757668018,30.34937873482704,30.34937873482704,1.2975779100088403e-05
67000,47.998151935637,30.408538445830345,30.408538445830345,1.3856123587174807e-05
68000,48.22291310876608,30.469103150069714,30.469103150069714,1.9686700397869572e-05
69000,48.41793256253004,30.5272923335433,30.5272923335433,1.037766196532175e-05
70000,48.64205093681812,30.5938094034791,30.5938094034791,1.798321864043828e-05
71000,48.85109458863735,30.650708489120007,30.650708489120007,5.18599154020194e-06
72000,49.02918326109648,30.717500284314156,30.717500284314156,9.269848305848427e-06
73000,49.24532101303339,30.787592858076096,30.787592858076096,1.4304181604529731e-05
74000,49.405199602246284,30.85282578319311,30.85282578319311,2.525802301533986e-05
75000,49.58173697441816,30.921653047204018,30.921653047204018,2.8606713385670446e-05
76000,49.71004809439182,30.98707338422537,30.98707338422537,2.271565972478129e-05
77000,49.903695084154606,31.05418774485588,31.05418774485588,7.318053576454986e-06
78000,50.06911177188158,31.11843863874674,31.11843863874674,1.0033399121311959e-05
79000,50.25893981009722,31.179738454520702,31.179738454520702,1.614457869436592e-05
80000,50.45166375488043,31.239580519497395,31.239580519497395,6.967117769818287e-06
81000,50.60985917598009,31.30105961114168,31.30105961114168,6.7552959990280215e-06
82000,50.81405432522297,31.359481923282146,31.359481923282146,9.700221198727377e-06
83000,50.99675250798464,31.417960837483406,31.417960837483406,1.992399847949855e-05
84000,51.19475304335356,31.485467597842216,31.485467597842216,2.163555836887099e-05
85000,51.37918347120285,31.54022541642189,31.54022541642189,1.2122687621740624e-05
86000,51.56940846890211,31.597058176994324,31.597058176994324,4.682413873524638e-06
87000,51.79208694398403,31.65754222869873,31.65754222869873,1.0434438991069328e-05
88000,52.012640453875065,31.717603221535683,31.717603221535683,1.733320277708117e-05
89000,52.23667015135288,31.784075759351254,31.784075759351254,1.1767428986786399e-05
90000,52.46585315465927,31.848323926329613,31.848323926329613,1.8195838492829353e-05
91000,52.69720850139856,31.908703587949276,31.908703587949276,4.397350494400598e-05
92000,52.887944005429745,31.964464254677296,31.964464254677296,8.867780707078055e-06
93000,53.08623547852039,32.0387649461627,32.0387649461627,2.676309122762177e-05
94000,53.273318253457546,32.09959714859724,32.09959714859724,3.834574727079598e-06
95000,53.43406030535698,32.15612142533064,32.15612142533064,4.445504146133317e-06
96000,53.643308609724045,32.22186920046806,32.22186920046806,6.9502229962381534e-06
97000,53.86849081516266,32.278412505984306,32.278412505984306,1.0150815796805546e-05
98000,54.05871094018221,32.336546920239925,32.336546920239925,8.121481187117752e-06
99000,54.24002231657505,32.396527744829655,32.396527744829655,6.472087079600897e-06
100000,54.39160930365324,32.44811438024044,32.44811438024044,6.126113476057071e-06
101000,54.52677512168884,32.49498250335455,32.49498250335455,7.089177415764425e-06
102000,54.625345684587955,32.54820195585489,32.54820195585489,7.832921255612746e-06
103000,54.742252215743065,32.5906967073679,32.5906967073679,1.1362965778971557e-05
104000,54.86158348619938,32.63903523981571,32.63903523981571,1.2240145224495791e-05
105000,54.96736465394497,32.68983767926693,32.68983767926693,4.285173417883925e-06
106000,55.114769883453846,32.74171456694603,32.74171456694603,5.340800726116868e-06
107000,55.25580293685198,32.790433034300804,32.790433034300804,5.5079235607990995e-06
108000,55.35521850734949,32.832189574837685,32.832189574837685,6.295135790423956e-06
109000,55.4542248994112,32.88351930677891,32.88351930677891,4.3831172661157325e-05
110000,55.58287689089775,32.92915578186512,32.92915578186512,5.115751264384016e-06
111000,55.66286337375641,32.98003179579973,32.98003179579973,4.739032192446757e-06
112000,55.76386061310768,33.025693632662296,33.025693632662296,2.2673526473226957e-05
113000,55.8816212490201,33.072969138622284,33.072969138622284,8.050443284446374e-06
114000,56.01942405849695,33.11296411603689,33.11296411603689,4.275371793482918e-06
115000,56.13675897568464,33.1603444814682,33.1603444814682,4.994291430193698e-06
116000,56.34324124455452,33.20399548113346,33.20399548113346,3.681267571664648e-06
117000,56.476911433041096,33.248543217778206,33.248543217778206,1.4237008144846186e-05
118000,56.637258648872375,33.2947973459959,33.2947973459959,3.6332160107122036e-06
119000,56.81827791035175,33.33322922885418,33.33322922885418,2.8085105441277847e-05
120000,56.944271482527256,33.37696122378111,33.37696122378111,3.90087461710209e-06
121000,57.0932539999485,33.424393497407436,33.424393497407436,3.746991205844097e-05
122000,57.25128847360611,33.47118319571018,33.47118319571018,4.098571480426472e-06
123000,57.39996448904276,33.51277758926153,33.51277758926153,1.0628284144331701e-05
124000,57.53883435577154,33.55742195248604,33.55742195248604,2.804672021738952e-06
125000,57.67410293966532,33.60395824164152,33.60395824164152,1.2654459169425536e-05
