target,MAE,RMSE,split
gpu_temp_c,0.020790231110371198,0.02709078807045064,train
__overall__,0.020790231110371198,0.02709078807045064,train
gpu_temp_c,0.10911551877165115,0.17877915589730528,val
__overall__,0.10911551877165115,0.17877915589730528,val
gpu_temp_c,0.10514393867443177,0.1727104786359246,test
__overall__,0.10514393867443177,0.1727104786359246,test
