timesteps,actor_param_norm,critic0_param_norm,critic1_param_norm,critic_loss
1000,24.289493277668953,23.522907719016075,23.522907719016075,
2000,24.000034203752875,24.394308423623443,24.394308423623443,0.00728429201990366
3000,23.921771140769124,24.991482265293598,24.991482265293598,0.005382072646170855
4000,23.878201249986887,25.401801768690348,25.401801768690348,0.0037339008413255215
5000,23.85611328110099,25.68874568119645,25.68874568119645,0.001505612162873149
6000,23.84948354586959,25.947742260992527,25.947742260992527,0.0010930539574474096
7000,23.85403908416629,26.144105449318886,26.144105449318886,0.0010696789249777794
8000,23.867429058998823,26.358662135899067,26.358662135899067,0.0007612829795107245
9000,23.896494122222066,26.500594690442085,26.500594690442085,0.000594543875195086
10000,23.950100373476744,26.657164722681046,26.657164722681046,0.00047467026161029935
11000,24.097386917099357,26.78599699214101,26.78599699214101,0.0004606152360793203
12000,24.28778442554176,26.884097080677748,26.884097080677748,0.00034723011776804924
13000,24.506328402087092,26.980699382722378,26.980699382722378,0.0003443872556090355
14000,24.746334185823798,27.05586764961481,27.05586764961481,0.00021643962827511132
15000,25.03490494005382,27.11899596825242,27.11899596825242,0.0003310823522042483
16000,25.428746471181512,27.196748558431864,27.196748558431864,0.00017165267490781844
17000,25.7631814815104,27.26656961068511,27.26656961068511,0.00027280213544145226
18000,26.23256655409932,27.335167326033115,27.335167326033115,0.0002831255551427603
19000,26.928023340180516,27.384056482464075,27.384056482464075,0.0001838495663832873
20000,27.49344295822084,27.431105740368366,27.431105740368366,0.00010910734272329137
21000,28.098125606775284,27.4720315374434,27.4720315374434,0.0001114859405788593
22000,28.71486834436655,27.520941145718098,27.520941145718098,8.927479211706668e-05
23000,29.335474379360676,27.566028729081154,27.566028729081154,0.00023524145944975317
24000,29.8792925439775,27.605127438902855,27.605127438902855,0.0001146533468272537
25000,30.490912724286318,27.648245718330145,27.648245718330145,0.00010961365478578955
26000,31.21364618651569,27.67586063966155,27.67586063966155,9.509941446594894e-05
27000,31.966709922999144,27.712923265993595,27.712923265993595,9.167153621092439e-05
28000,32.65548797138035,27.759483728557825,27.759483728557825,5.597252311417833e-05
29000,33.48055649921298,27.797493651509285,27.797493651509285,7.543830724898726e-05
30000,34.17599814012647,27.84467515721917,27.84467515721917,3.9095961255952716e-05
31000,34.747019454836845,27.88215696066618,27.88215696066618,8.012825855985284e-05
32000,35.3227860648185,27.917891196906567,27.917891196906567,4.6856737753842026e-05
33000,35.924923395738006,27.955031469464302,27.955031469464302,5.304923979565501e-05
34000,36.40126132033765,28.002073403447866,28.002073403447866,2.7149742891197093e-05
35000,36.8120155390352,28.04173443093896,28.04173443093896,3.696630665217526e-05
36000,37.15265867859125,28.0834380351007,28.0834380351007,5.6892866268754005e-05
37000,37.426308473572135,28.130312722176313,28.130312722176313,8.271225669886917e-05
38000,37.73389966972172,28.176616299897432,28.176616299897432,5.7475550420349464e-05
39000,38.05784269794822,28.21725730225444,28.21725730225444,3.061533789150417e-05
40000,38.34833633713424,28.25564621016383,28.25564621016383,3.260265657445416e-05
41000,38.64126597903669,28.302260920405388,28.302260920405388,3.4365468309260905e-05
42000,38.934069885872304,28.353772770613432,28.353772770613432,4.2739950004033744e-05
43000,39.31083979271352,28.40048708766699,28.40048708766699,2.473999120411463e-05
44000,39.708508152514696,28.449495390057564,28.449495390057564,7.164521957747638e-05
45000,40.12207112368196,28.50428005307913,28.50428005307913,2.849455995601602e-05
