#{"t_start": 1780067405.1669965, "env_id": "None"}
r,l,t
1869.666561,300,962.3514
2175.81789,300,965.696642
2333.620655,300,969.076787
1981.575145,300,972.943546
2064.295612,300,976.663883
2032.200073,300,980.233826
1722.075361,300,983.642352
1767.591175,300,987.110621
2340.554873,300,990.7161
2020.669811,300,994.086907
2043.903002,300,996.83649
1735.329905,300,1000.195255
2298.85555,300,1003.748199
2285.630621,300,1006.913025
1863.405036,300,1010.427343
1562.878839,300,1014.189253
1454.789841,300,1017.612859
2184.352494,300,1021.404082
1354.44685,300,1024.792947
1478.00231,300,1028.438327
2152.068271,300,1032.248868
1734.312628,300,1035.848504
1209.808352,300,1039.773422
1645.121143,300,1043.486584
1898.05286,300,1047.206492
1406.156501,300,1051.169625
1712.670399,300,1054.75717
1313.951772,300,1058.222857
1686.591525,300,1061.739003
1933.345043,300,1065.591156
1732.633195,300,1069.06434
2027.597352,300,1072.541257
2079.299612,300,1076.0764
1504.347852,300,1079.65682
1454.798455,300,1083.190769
1411.968189,300,1087.124464
1870.209558,300,1090.946437
2199.171765,300,1094.442374
2220.775032,300,1098.27346
2133.486871,300,1102.018755
1245.719398,300,1105.933283
1563.25732,300,1109.586277
1501.996594,300,1112.916883
2389.504097,300,1116.662697
2102.685943,300,1120.311968
1969.528825,300,1124.32659
2331.804406,300,1128.271922
1939.468341,300,1131.916354
1395.276452,300,1135.662128
1078.523356,300,1139.475034
1565.680893,300,1142.811541
2253.531103,300,1146.292086
2133.295845,300,1149.730876
2547.295796,300,1153.345784
2131.786907,300,1157.005569
1470.054212,300,1160.681691
2117.891811,300,1164.289049
2315.799685,300,1168.13622
2180.008189,300,1172.047761
1641.943791,300,1176.05568
1578.035258,300,1179.76721
2393.458283,300,1183.647912
1786.497589,300,1187.390249
2029.321024,300,1191.239219
1792.400158,300,1195.0335
2043.432762,300,1197.61432
1534.520687,300,1201.11559
1574.001618,300,1205.048598
2123.233668,300,1208.796558
2120.808853,300,1213.139657
913.513852,300,1217.147397
2259.052581,300,1220.787914
1203.645611,300,1224.446516
1874.502544,300,1228.028397
2484.363587,300,1231.496335
1942.976885,300,1235.250501
1620.264675,300,1239.001178
2278.19398,300,1242.732404
2302.856964,300,1246.842323
1463.981265,300,1250.639777
2319.386117,300,1254.866735
1500.668961,300,1258.669641
2195.101735,300,1262.599261
2033.568053,300,1266.563097
2178.051162,300,1269.719014
1689.84466,300,1273.692661
2149.005179,300,1276.916058
1776.008989,300,1281.173002
1676.177274,300,1285.279415
2182.463145,300,1289.111469
2488.93303,300,1292.934432
1709.149481,300,1296.73231
1661.1102,300,1300.495974
1809.644951,300,1304.35177
2412.379154,300,1308.337229
1732.458545,300,1311.871277
1764.507765,300,1315.364728
1901.419203,300,1319.092017
1620.65098,300,1322.834398
1096.237777,300,1326.282671
1754.740208,300,1330.103552
2391.645975,300,1334.121548
1429.306499,300,1338.161738
1412.5968,300,1342.244003
2001.630475,300,1346.34586
2453.141937,300,1349.992571
2327.084696,300,1353.738507
1945.527508,300,1357.611062
2166.113524,300,1361.550764
1289.288899,300,1365.488749
2130.226723,300,1369.445575
1675.204343,300,1373.364774
1536.245352,300,1377.349531
1680.262409,300,1380.747565
2293.899633,300,1384.194431
2272.598689,300,1388.092302
1511.141475,300,1391.530359
1646.050995,300,1395.24704
2387.824965,300,1399.328307
2198.54225,300,1403.04709
2253.448995,300,1406.806038
1743.482824,300,1410.653728
2116.763851,300,1414.468666
2248.279555,300,1418.374191
1778.866864,300,1422.448807
1878.089967,300,1426.51916
2210.366929,300,1430.391506
1950.783803,300,1434.085123
2109.7375,300,1437.603574
2276.647418,300,1441.404475
1583.494279,300,1444.944504
2172.46822,300,1449.033911
1558.691913,300,1453.033327
2216.026667,300,1457.146218
1264.592485,300,1461.018531
1736.41379,300,1464.9687
1727.010142,300,1468.762458
2074.916087,300,1472.719168
1907.592825,300,1476.555916
1715.666369,300,1480.727142
2034.731768,300,1484.813364
2283.460918,300,1488.860762
1197.526661,300,1492.733925
1912.386687,300,1496.049929
1723.39963,300,1499.725319
1380.904384,300,1503.326959
1673.639173,300,1507.06815
1836.765213,300,1511.157804
1483.721927,300,1515.052996
2146.606045,300,1518.900975
1854.705536,300,1522.691152
1684.966345,300,1526.526575
1500.527109,300,1529.974066
1837.404984,300,1533.727769
2085.44462,300,1537.442341
1080.028442,300,1541.542647
1573.699136,300,1544.630801
1734.314272,300,1548.464357
2186.639382,300,1551.811939
2130.317343,300,1555.050317
2392.049499,300,1558.773719
2201.598527,300,1562.47073
2370.119217,300,1565.892656
1376.116401,300,1569.766623
2071.19348,300,1573.426947
2130.032823,300,1577.114009
2446.439939,300,1580.776696
1240.898569,300,1584.380427
1721.794897,300,1587.990314
2379.171361,300,1591.198036
1902.942376,300,1594.548171
1148.699302,300,1598.348696
1562.237533,300,1602.010924
2305.660128,300,1605.736956
1925.147745,300,1609.289498
2424.073834,300,1612.497091
2096.401899,300,1616.497931
1757.596558,300,1620.397476
2205.006388,300,1623.962606
1690.941085,300,1627.874601
2125.797215,300,1631.711129
2239.061321,300,1635.693148
2169.597701,300,1639.454745
1354.859823,300,1643.143763
1821.002597,300,1647.244847
1979.563265,300,1651.066411
1876.582991,300,1655.111159
1746.964881,300,1659.295135
1854.291682,300,1662.892124
1450.061679,300,1666.679413
1518.712375,300,1670.485439
1871.545441,300,1674.346779
2104.238289,300,1678.111848
2029.654071,300,1681.608577
2391.484833,300,1685.314721
2120.164954,300,1689.011082
1831.030271,300,1692.52864
1303.539021,300,1696.210293
2212.234664,300,1699.799381
1306.97059,300,1703.585191
2025.1883,300,1707.646108
2302.910296,300,1711.649104
1969.353585,300,1715.641407
2180.271159,300,1719.404806
1591.760778,300,1722.731322
2302.716933,300,1726.466565
1978.918508,300,1730.220461
1578.397542,300,1733.528896
2302.74411,300,1737.378694
2174.728508,300,1741.291155
2446.305414,300,1745.044489
2081.767252,300,1748.630089
1912.758022,300,1751.897359
2498.616071,300,1755.76245
2069.133537,300,1759.807267
2024.608854,300,1763.781955
1302.359428,300,1767.540912
1960.403744,300,1771.034736
1637.712732,300,1774.639633
2308.331253,300,1778.513942
2096.371514,300,1782.242426
833.906063,300,1786.307012
1535.783431,300,1790.346713
1394.869804,300,1794.292253
1411.752524,300,1798.464741
1794.257784,300,1802.199902
1652.444971,300,1805.768095
1549.484618,300,1809.849092
1448.93935,300,1813.758467
2363.024296,300,1817.613801
2322.767383,300,1821.423113
2300.117465,300,1825.227868
1023.669032,300,1829.024599
2095.879092,300,1832.919537
2013.762231,300,1836.670459
1548.136784,300,1840.510552
1639.268159,300,1844.154459
1884.068988,300,1848.175553
2543.558657,300,1852.121631
2099.230108,300,1855.838613
2265.696467,300,1859.390134
1651.958881,300,1863.009192
2424.087089,300,1866.931979
2120.442253,300,1870.90818
1603.756462,300,1874.858017
1335.659938,300,1878.936644
1719.6275,300,1882.877025
2344.156058,300,1886.794935
1871.02872,300,1890.73495
1777.254503,300,1894.558373
2226.489694,300,1898.04132
1814.852079,300,1902.011522
2105.144079,300,1905.892959
2477.457772,300,1909.166527
1885.235555,300,1913.002127
2369.948259,300,1916.899424
1888.433078,300,1920.815137
2278.641253,300,1924.299264
2290.289217,300,1928.096517
1701.72654,300,1932.059144
2229.07019,300,1935.824577
1300.775609,300,1939.039826
1839.948759,300,1942.99314
1325.235975,300,1947.205184
1832.860541,300,1950.624006
1645.5163,300,1954.434867
1967.157383,300,1958.575046
1941.731143,300,1962.591503
2204.792033,300,1966.564908
2097.418627,300,1970.383785
1787.613577,300,1973.81516
1875.920546,300,1977.457244
1629.058102,300,1981.205767
1281.900881,300,1985.196542
1653.787051,300,1989.213864
1979.836984,300,1992.641721
2118.078127,300,1996.362666
2382.563391,300,2000.162986
1138.871992,300,2004.047231
2264.953225,300,2007.829756
2364.239488,300,2011.709363
2038.220977,300,2015.267926
1864.965386,300,2019.107522
1385.057959,300,2022.663841
2184.991684,300,2026.554564
1683.480591,300,2030.513386
2374.367916,300,2034.258118
1111.082918,300,2037.767255
1640.791293,300,2041.703864
1605.238127,300,2045.396047
2153.32979,300,2049.314669
1550.732739,300,2053.132761
1753.282816,300,2056.953779
1905.193794,300,2060.888163
2444.843072,300,2064.823755
2344.427814,300,2068.774539
1481.605548,300,2072.648626
1914.471836,300,2076.671684
2040.541273,300,2080.337814
1647.815112,300,2084.091784
1981.462534,300,2088.058136
2412.444058,300,2092.100522
1502.799511,300,2096.009151
2263.038088,300,2099.68768
1339.515521,300,2103.402386
1980.849655,300,2107.149013
2010.565696,300,2111.106515
2082.810381,300,2114.928395
1899.658494,300,2119.015349
1751.390355,300,2122.975085
1919.84171,300,2126.613273
2256.844407,300,2130.439497
2043.281189,300,2133.716613
2046.78654,300,2137.506959
1625.289908,300,2141.214458
2246.556549,300,2145.237199
1984.580457,300,2149.246053
2335.374769,300,2153.084124
2087.167537,300,2157.090445
1594.540966,300,2160.536185
1978.711098,300,2164.321507
1697.639354,300,2168.014664
1640.521448,300,2171.903501
2031.012761,300,2175.876199
1543.610722,300,2179.753047
1869.375458,300,2182.834333
1849.061879,300,2186.703856
2224.421336,300,2190.431814
2427.803389,300,2194.194138
1543.04745,300,2198.070009
2179.169109,300,2202.099792
2123.12254,300,2205.978936
2530.184798,300,2209.880954
1817.060774,300,2213.809767
1993.843355,300,2217.392648
1700.75561,300,2221.374352
2179.638651,300,2225.350364
1872.86392,300,2229.531862
2015.77051,300,2233.765163
1219.672312,300,2237.399384
1643.175197,300,2241.32659
2384.613426,300,2245.248478
1383.444561,300,2249.233646
1697.807134,300,2253.365125
2550.290502,300,2257.09823
1719.666148,300,2261.1556
2464.255104,300,2264.851624
2235.991569,300,2268.62781
2343.130872,300,2272.501461
1903.385391,300,2276.501605
1955.229407,300,2280.630155
1465.271036,300,2284.681544
2349.640957,300,2288.609181
1760.575415,300,2292.526402
2518.14655,300,2296.545462
2204.992249,300,2300.439591
1828.94393,300,2304.266001
2100.650689,300,2308.228557
1948.312662,300,2312.186269
1692.81379,300,2315.827808
2459.57169,300,2319.556483
1544.438307,300,2323.601083
1857.03496,300,2327.405858
1712.693211,300,2331.178782
2086.639369,300,2335.021137
2134.073646,300,2338.926059
2439.950439,300,2342.727533
